path,status,reason
configs/dummy.yaml,moved_legacy,configuration_for_legacy_baseline
configs/thumos14.yaml,moved_legacy,configuration_for_legacy_baseline
configs/thumos14_debug.yaml,moved_legacy,configuration_for_legacy_baseline
scripts/audit_v111_per_frame_schema.py,moved_legacy,legacy_schema_audit
scripts/bootstrap_ek100_transition_misalignment.py,moved_legacy,legacy_transition_analysis
scripts/diagnose_transition_sparse.py,moved_legacy,legacy_transition_analysis
scripts/evaluate.py,moved_legacy,legacy_budget_policy_runner
scripts/plot_budget_curve.py,moved_legacy,legacy_budget_plot
scripts/plot_selective_frontier.py,moved_legacy,legacy_selective_plot
scripts/plot_summary_metric.py,moved_legacy,legacy_summary_plot
scripts/plot_threshold_curve.py,moved_legacy,legacy_policy_plot
scripts/plot_transition_delay.py,moved_legacy,legacy_transition_plot
scripts/prepare_dummy_data.py,moved_legacy,legacy_baseline_helper
scripts/run_baseline.py,moved_legacy,legacy_budget_policy_runner
src/oad_stress_test/plots/__init__.py,moved_legacy,legacy_plot_package
src/oad_stress_test/plots/curves.py,moved_legacy,legacy_plot_package
src/oad_stress_test/metrics/budget.py,moved_legacy,metric_for_legacy_budget_curve
src/oad_stress_test/policies/__init__.py,moved_legacy,legacy_policy_package
src/oad_stress_test/policies/base.py,moved_legacy,legacy_policy_contract_and_state
src/oad_stress_test/policies/confidence.py,moved_legacy,legacy_wait_abstain_policies
src/oad_stress_test/policies/sampling.py,moved_legacy,legacy_budget_sampling_policies
tests/test_bootstrap_transition_misalignment.py,moved_legacy,test_for_legacy_transition_analysis
tests/test_confidence_threshold_policy.py,moved_legacy,test_for_legacy_wait_abstain_policies
tests/test_evaluate.py,moved_legacy,test_for_legacy_runner
tests/test_per_frame_logging.py,moved_legacy,test_for_legacy_logging_contract
tests/test_reliability_ladder.py,moved_legacy,test_for_legacy_reliability_ladder
tests/test_run_baseline_threshold_sweep.py,moved_legacy,test_for_legacy_runner
tests/test_shift_plumbing.py,moved_legacy,test_for_legacy_shift_path
tests/test_transition_misalignment_analyzer.py,moved_legacy,test_for_legacy_transition_analysis
tools/analyze_transition_misalignment.py,moved_legacy,legacy_transition_analysis
tools/bootstrap_transition_misalignment.py,moved_legacy,legacy_transition_analysis
tools/collect_v11_go_nogo_summary.py,moved_legacy,legacy_summary_collector
tools/reliability_ladder.py,moved_legacy,legacy_reliability_ladder
tools/validate_per_frame_log.py,moved_legacy,legacy_log_validator
src/oad_stress_test/utils/factory.py::make_policy,extracted_legacy,policy_factory_extracted_without_changing_constructor_branches_or_defaults
tests/test_metrics.py::test_budget_degradation_slope_and_auc_on_toy_summary,extracted_legacy,budget_metric_test_moved_with_legacy_metric
scripts/run_v112_ek100_stronger_predictor.py,retained_dependency,active_instance_pipeline
scripts/run_v19_ek100_smoke.py,retained_dependency,active_instance_pipeline
src/oad_stress_test/evaluators/streaming.py,retained_dependency,core_evaluator_used_by_active_models
src/oad_stress_test/metrics/basic.py,retained_dependency,core_metric_implementation
src/oad_stress_test/metrics/failure.py,retained_dependency,core_metric_implementation
src/oad_stress_test/metrics/selective.py,retained_dependency,implementation_exists_and_is_tested_but_primary_evidence_does_not_depend_on_it
src/oad_stress_test/utils/factory.py,retained_dependency,active_model_and_dataset_construction_after_policy_factory_extraction
src/oad_stress_test/utils/jsonl_logger.py,retained_dependency,active_execution_utility
tests/test_causal_evaluator.py,retained_dependency,active_core_evaluator_test
tests/test_causal_gru.py,retained_dependency,active_primary_predictor_test
tests/test_causal_tcn.py,retained_dependency,implementation_exists_and_is_tested_but_primary_evidence_does_not_depend_on_it
tests/test_causality.py,retained_dependency,active_causality_contract_test
tests/test_check_thumos_ready.py,retained_dependency,active_data_readiness_test
tests/test_linear_probe.py,retained_dependency,active_primary_predictor_test
tests/test_metrics.py,retained_dependency,active_core_metrics_after_budget_test_extraction
tests/test_split_semantics.py,retained_dependency,active_split_contract_test
